Strike,Date,Village/local area,District,Province,Type of attack,Reportedly drone?,US confirmed?,US only source?,"Counter-
AFG190,09/05/2016,Nahr Sufi,Chahar Dara,Kunduz,US strike,1,0,0,-,Taliban,-,Vehicle,1,1,12,12,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#195,,195
AFG191,12/05/2016,Zarmakhel,Pacheragam,Nangarhar,US strike,0,1,0,CT,Reportedly Taliban,10:30,Vehicle,1,1,1,1,0,0,0,0,1,1,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#202,,202
AFG192,16/05/2016,Gandeel,Watapor,Kunar,US strike,1,1,0,FP,ISIS,-,Hideout,1,1,3,3,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#197,,197
AFG193,17/05/2016,Unknown,Shahjoy,Zabul,US strike,1,1,0,CT,AQ,-,-,1,1,5,5,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#199,,199
AFG194,18/05/2016,Mohammd Ghous,Ab Band,Ghazni,US strike,1,0,0,-,Taliban,05:00,-,1,1,1,1,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#201,,201
AFG195,22/05/2016,Asqalan,Kunduz city,Kunduz,US strike,1,0,0,-,Taliban,-,Vehicle,1,1,13,13,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#203,,203
AFG196,22/05/2016,Karkani,Achin,Nangarhar,US strike,1,0,0,-,ISIS,Morning,-,1,1,9,9,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#204,,204
AFG197,26/05/2016,Sarobi,Achin,Nangarhar,US strike,1,0,0,"-
",ISIS,Morning,Bomb-rigged car,1,1,6,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#205,,205
AFG198,26/05/2016,Pirakhel,Wazir,Nangarhar,US strike,1,0,0,-,ISIS,Morning,-,1,1,4,4,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#206,,206
AFG199,26/05/2016,Unknown,Kot,Nangarhar,US strike,1,0,0,-,ISIS,-,-,1,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#207,,207
AFG200,26/05/2016,Elbak,Unknown,Kandahar,US strike,1,1,1,FP,Taliban,Night,-,3,3,7,7,0,0,0,0,2,2,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#220,,220
AFG201,29/05/2016,Kangari Kando,Haska Mena,Nangarhar,US strike,1,0,0,-,ISIS,-,Hideout,1,1,6,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#208,,208
AFG202,29/05/2016,Kata Sang,Shaha Wali Kot,Kandahar,US strike,1,1,0,FP,Taliban,-,-,1,1,17,22,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#209,,209
AFG203,29/05/2016,Unknown,De Bala,Nangarhar,US strike,1,0,0,-,Taliban,-,-,1,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#210,,210
AFG204,29/05/2016,Unknown,Sayedabad,Maidan Wardak,US strike,1,0,0,-,ISIS,-,-,1,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#211,,211
AFG205,02/06/2016,Kharkot,Gayan,Paktika,US strike,1,0,0,-,Taliban,14:00,-,1,1,10,10,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#212,,212
AFG206,08/06/2016,Unknown,Sar Rawza,Paktika,US strike,1,0,0,-,Haqqani,Night,Vehicle,1,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#213,,213
AFG207,11/06/2016,Sargardan,Hesarak,Nangarhar,US strike,1,0,0,-,Taliban,-,Vehicle,1,1,6,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#214,,214
AFG208,11/06/2016,Unknown,Azara,Logar,US strike,1,0,0,-,Taliban,-,Vehicle,1,1,11,11,0,3,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#215,,215
AFG209,11/06/2016,Ghwagezai,Hesarak,Nangarhar,US strike,1,0,0,-,Taliban,Night,Vehicle,1,1,6,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#216,,216
AFG210,14/06/2016,Karkanai,Achin,Nangarhar,US strike,1,0,0,-,ISIS,-,Hideout,1,1,10,10,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#217,,217
AFG211,15/06/2016,Karkanai,Achin,Nangarhar,US strike,1,0,0,-,ISIS,21:00,-,1,1,21,21,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#237,,237
AFG212,18/06/2016,Taraki,Dasht e Archi,Nangarhar,US strike ,1,0,0,-,Taliban,Night,Vehicle,1,1,8,8,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#218,,218
AFG213,18/06/2016,"Dara e Mohmand, Mazdaki, Abdulkhail",Achin,Nangarhar,US strike,1,1,0,CT,ISIS,-,-,1,1,23,27,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#219,,219
AFG214,21/06/2016,Moghul Qeshlag,Imam Sahib,Kunduz,US strike,1,0,0,-,Taliban,Midday,Hideout,1,1,5,5,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#220,,220
AFG215,22/06/2016,Pir Shah Khelo,Kot,Nangarhar,US strike,1,0,0,-,ISIS,Late afternoon,-,1,1,4,4,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#221,,221
AFG216,23/06/2016,Rahmati and Marsing,Lal Pura,Nangarhar,US strike,1,0,0,-,Taliban,Night,"Car, motorcycle",2,2,7,7,0,0,0,0,3,3,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#229,,229
AFG217,24/06/2016,Unknown,Unknown,Unknown,US strike,0,1,1,-,Taliban,-,"""Taliban positions""",2,2,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#222,,222
AFG218,25/06/2016,Sarak Payin,Chahar Dara,Kunduz,US strike,1,1,0,-,Taliban,-,Taliban prison,2,2,7,16,0,15,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#223,,223
AFG219,26/06/2016,Unknown,Kot,Nangarhar,US strike,1,0,0,-,ISIS,16:00,Hideout,1,1,30,30,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#224,,224
AFG220,27/06/2016,Unknown,Chahar Dara,Kunduz,US strike,1,0,0,-,Taliban,-,-,1,1,4,16,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#225,,225
AFG221,28/06/2016,Hazrat Sultan,Kunduz city,Kunduz,US strike,1,0,0,-,Taliban,-,-,1,1,14,14,0,0,0,0,8,8,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#226,,226
AFG222,29/06/2016,Unknown,Gortipa,Kunduz,US strike,1,0,0,-,Taliban,-,-,1,1,10,10,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#227,,227
AFG223,29/06/2016,Unknown,Dasht e Archi,Nangarhar,US strike,1,0,0,-,Taliban,-,-,1,1,10,10,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#228,,228
AFG224,03/07/2016,Unknown,Ab Band,Ghazni,US strike,1,0,0,-,Taliban,-,-,1,1,12,12,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#230,,230
AFG225,03/07/2016,Mamond and Pekha,Achin,Nangarhar,US strike,1,0,0,-,ISIS,Night,"Hideouts
",2,2,19,19,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#231,,231
AFG226,03/07/2016,Wazir,Khogyani,Nangarhar,US strike,1,0,0,-,Taliban,Afternoon,Vehicles,1,1,11,11,0,0,0,0,3,5,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#232,,232
AFG227,05/07/2016,Unknown,Kot,Nangarhar,US strike,1,0,0,-,ISIS,Night,-,1,1,12,12,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#233,,233
AFG228,08/07/2016,Unknown,Achin,Nangarhar,US strike,1,0,0,-,ISIS,-,-,1,1,16,16,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#234,,234
AFG229,09/07/2016,Mamond Dara,Achin,Nangarhar,US strike,1,1,0,CT,IS/TTP,-,-,1,1,4,8,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#235,,235
AFG230,09/07/2016,Unknown,Kot,Nangarhar,US strike,0,1,1,CT,-,-,-,1,1,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#236,,236
AFG231,11/07/2016,Unknown,Achin,Nangarhar,US strike,1,0,0,-,ISIS,-,-,1,1,4,4,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#238,,238
AFG232,13/07/2016,Mamond Dara,Achin,Nangarhar,US strike,1,0,0,-,ISIS,-,-,1,1,12,12,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#239,,239
AFG233,13/07/2016,"Kharawa, Landai and Kochiano-ghnodai",Achin,Nangarhar,US strike,1,0,0,-,ISIS,-,Radio station,3,3,26,26,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#240,,240
AFG234,14/07/2016,Bandar Khwar and Dah Sarak,Achin,Nangarhar,US strike,1,0,0,-,ISIS,-,-,2,2,12,12,0,0,0,0,2,2,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#241,,241
AFG235,14/07/2016,Peera Khel,Khogyani,Nangarhar,US strike,1,0,0,-,Taliban,-,-,1,1,4,4,0,0,0,0,3,3,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#248,,248
AFG236,15/07/2016,Reg Shahidan,"Maiwand
",Helmand,US strike,1,0,0,-,Taliban/smugglers,Night,Vehicles,1,1,30,30,0,0,0,0,2,2,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#242,,242
AFG237,16/07/2016,Spin Zaea,Nazyano,Nangarhar,US strike,1,0,0,-,ISIS,Late,-,1,1,15,15,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#243,,243
AFG238,16/07/2016,Unknown,Achin,Nangarhar,US strike,1,0,0,-,ISIS,-,Hideout,1,1,6,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#244,,244
AFG239,19/07/2016,Sangin,Sangin,Helmand,US strike,0,1,1,-,Taliban,-,-,2,2,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#245,,245
AFG240,19/07/2016,Bandar,Achin,Nangarhar,US strike,1,0,0,-,ISIS,Night,-,1,1,5,5,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#246,,246
AFG241,20/07/2016,Unknown,Achin,Nangarhar,US strike,1,0,0,-,Taliban,-,-,1,1,15,15,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#247,,247
AFG242,23/07/2016,Unknown,Achin,Nangarhar,US strike,1,0,0,-,ISIS,Night,-,1,1,8,8,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#249,,249
AFG243,23/07/2016,Unknown,Achin,Nangarhar,US strike,0,1,1,CT,ISIS,-,-,2,2,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#250,,250
AFG244,26/07/2016,Unknown,Achin,Nangarhar,US strike,0,1,0,CT,ISIS,-,-,1,1,1,1,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#255,,255
AFG245,27/07/2016,Pekhi Kali,Achin,Nangarhar,US strike,1,0,0,-,ISIS,-,Hideout,1,1,6,6,0,0,0,0,3,3,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#251,,251
AFG246,27/07/2016,Milwa Kand,Nazian,Nangarhar,US strike,1,0,0,-,ISIS,-,Hideout,1,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#252,,252
AFG247,31/07/2016,Unknown ,Unknown ,Unknown,US strike,0,1,1,-,- ,-,-,63,63,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#298,,298
AFG248,01/08/2016,Zarghoon village,Nad Ali,Helmand,US strike,1,0,0,-,Taliban,Night,-,1,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#253,,253
AFG249,11/08/2016,Unknown,Unknown,Helmand,US strike,1,1,0,-,-,-,-,25,25,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#254,,254
AFG250,12/08/2016,Unknown,Khoshamand,Paktika,US strike,1,0,0,-,Taliban,-,House,1,1,20,25,0,5,0,4,25,25,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#256,,256
AFG251,13/08/2016,Pekha,Achin,Nangarhar,US strike,1,0,0,-,ISIS,Night,-,1,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#257,,257
AFG252,22/08/2016,Unknown,Kot,Nangarhar,US strike,1,0,0,-,ISIS,-,-,1,1,4,4,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#260,,260
AFG253,24/08/2016,Unknown,Unknown,Kunduz,US strike,0,1,1,-,-,-,-,10,10,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#261,,261
AFG254,25/08/2016,Unknown,Nad Ali,Helmand,US strike,1,1,0,-,Taliban,Night,Taliban HQ and bomb making factory or prison,2,2,24,32,0,8,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#258,,258
AFG255,29/08/2016,Unknown,Jani Khil,Paktia,US strike,1,1,0,SE,Taliban,-,-,4,4,8,120,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#259,,259
AFG256,30/08/2016,Unknown,Lal Pura,Nangarhar,US strike,0,0,0,-,Taliban,-,-,1,1,6,6,0,0,0,0,3,3,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#262,,262
AFG257,31/08/2016,Unknown,Deh Bala,Nangarhar,US strike,0,0,0,-,ISIS,-,-,8,8,17,17,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#263,,263
AFG258,31/08/2016,Unknown ,Unknown,Unknown,US strike,0,1,1,-,-,-,-,26,26,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#266,,266
AFG259,02/09/2016,Keen Kalai,Spera,Khost,US strike,0,0,0,-,Haqqani,10:00,-,1,1,7,7,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#264,,264
AFG260,09/09/2016,Tarin Kot,Tarin Kot,Uruzgan,US strike,0,0,0,SE,-,-,-,3,3,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#267,,267
AFG261,10/09/2016,Qarya e Surkh,Khak e Safid,Farah,US strike,1,0,0,-,-,Night,Militant hideout ,1,1,4,4,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#265,,265
AFG262,17/09/2016,Unknown,Unknown,Uruzgan,US strike,0,1,1,5 SE 1 CT,-,-,-,6,6,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#269,,269
AFG263,18/09/2016,Saki,Tarin Kot,Uruzgan,US strike,0,1,0,FP,-,Night,-,2,2,7,8,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#268,,268
AFG264,22/09/2016,Dastandar,Kot ,Nangarhar ,US strike ,0,0,0,-,-,Night,Vehicle,1,1,7,7,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#270,,270
AFG265,22/09/2016,Spinajai ,Nazyan,Nangarhar,US strike ,0,0,0,-,ISIS,Night,-,1,1,5,5,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#271,,271
AFG266,22/09/2016,Tawar Tangi,Hesarak,Nangarhar,US strike ,0,0,0,-,Taliban,Night,-,1,1,18,18,0,0,0,0,6,6,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#272,,272
AFG267,24/09/2016,Unknown,Bermal,Paktika,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#273,,273
AFG268,25/09/2016,Unknown,Bermal,Paktika ,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#274,,274
AFG269,28/09/2016,Unknown,Achin ,Nangarhar ,US strike,1,1,0,CT,ISIS,03:00,House,1,1,18,21,15,15,0,0,13,27,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#275,,275
AFG270,30/09/2016,Unknown,Unknown,Unknown,US strike,0,1,1,-,-,-,-,121,121,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#277,,277
AFG271,03/10/2016,Unknown,Kunduz city,Kunduz,US strike,0,1,1,-,Taliban ,-,-,12,12,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#278,,278
AFG272,03/10/2016,Unknown ,Nawa-i-Barakzayi,Helmand,"US air operation with use of drone, F16 jets and Apache helicopter",1,1,0,-,Taliban,-,-,3,3,12,12,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#280,,280
AFG273,04/10/2016,Abdul Khel,Achin,Nangarhar,US strike,1,0,0,-,ISIS,-,-,1,1,13,13,0,0,0,0,2,2,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#276,,276
AFG274,08/10/2016,Unknown ,Achin and Deh Bala ,Nangarhar,US strike ,0,1,1,-,-,-,-,6,6,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#279,,279
AFG275,17/10/2016,Unknown ,Farah and Bakwah ,Farah ,US strike ,0,1,0,FP,Taliban,-,-,6,6,70,70,0,0,0,0,30,30,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#281,,281
AFG276,19/10/2016,Unknown ,Seyagerd,Parwan ,US strike,1,0,0,-,Taliban ,-,-,1,1,8,8,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#282,,282
AFG277,22/10/2016,Koz-Pachir village , Pachiragam,Nangarhar ,US strike ,1,1,0,-,-,Before noon,-,1,1,5,5,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#283,,283
AFG278,23/10/2016,Unknown ,Unknown ,Kunduz,US strike ,1,1,0,CT,al Qaeda ,-,command-and-control locations ,1,1,3,3,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#284,,284
AFG279,28/10/2016,Unknown,Sherzad,Nangarhar ,US strike ,0,1,0,FP,Taliban ,-,House ,1,1,2,4,2,4,0,0,0,30,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#285,,285
AFG280,28/10/2016,Aligal village,Ghaziabad,Kunar,US strike,1,0,0,-,Insurgents,Late,-,1,1,5,5,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#286,,286
AFG281,30/10/2016,Janjal Shaga and Shaistagar,Achin,Nangarhar,US helicopter strikes,0,0,0,-,ISIS,Night,Heavy machine gun destroyed,2,2,11,11,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#287,,287
AFG282,31/10/2016,Unknown,Dangam and Ghaziabad,Kunar,US strike,0,0,0,-,Insurgents,-,-,2,2,9,9,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#288,,288
AFG283,31/10/2016,Unknown ,Unknown ,Unknown,US strike ,0,1,1,-,-,-,-,138,138,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#296,,296
